#separator:Semicolon
#html:false
#columns:Simplified;Traditional;Reading
#notetype:Simplified
#deck:simp_vs_trad
万世流芳;萬世流芳;wan4shi4-liu2fang1
谁;誰;shei2
谈;談;tan2
败;敗;bai4
贬谪;貶謫;bian3zhe2
资质;資質;zi1zhi4
资质平平;資質平平;zi1zhi4ping2ping2
赐;賜;ci4
路过;路過;lu4guo4
车到山前必有路;車到山前必有路;che1 dao4 shan1qian2 bi4 you3 lu4
转;轉;"zhuan3; zhuai3"
转瞬;轉瞬;zhuan3shun4
轻狂;輕狂;qing1kuang2
过;過;guo4
还;還;"hai2; huan2"
还原;還原;huan2yuan2
还愿;還願;huan2yuan4
迹;跡;ji4
通灵;通靈;tong1ling2
遗忘;遺忘;yi2wang4
遣归;遣歸;qian3gui1
邪术;邪術;xie2shu4
钟;鐘;zhong1
钥匙;鑰匙;yao4shi5
钱;錢;qian2
铜;銅;tong2
锁;鎖;suo3
锅;鍋;guo1
错;錯;cuo4
镇;鎮;zhen4
镇守;鎮守;zhen4shou3
闭嘴;閉嘴;bi4zui3
问;問;wen4
闹;鬧;nao4
闹剧;鬧劇;nao4ju4
闺女;閨女;gui1nü5
阳;陽;yang2
阵;陣;zhen4
阵法;陣法;zhen4fa3
陈情;陳情;chen2qing2
难;難;"nan2; nan4"
顺;順;shun4
顾;顧;gu4
预;預;yu4
频频;頻頻;pin2pin2
额;額;e2
风;風;feng1
风信;風信;feng1xin4
风光;風光;feng1guang1
飞升;飛升;fei1sheng1
骂;罵;ma4
骄傲;驕傲;jiao1ao4
魔头;魔頭;mo2tou2
黄;黃;huang2
黄花;黃花;huang2hua1
黄金;黃金;huang2jin1
齑粉;齏粉;ji1fen3
